task_id,source_system,source_ref,department,task_type_id,asset_id,location_kind,block_section_id,station_code,start_km,end_km,line_id,origin,raised_date,days_pending,severity,deadline,safety_critical,access_required,requested_duration_min,crew_required,machine_required,materials_ready,season_restricted,night_permitted,status
SNT-2026-00501,SMMS,SMMS-00501,SNT,SNT-SIGNAL-REPLACE,SG-STMPV-08,edge,STM-PV-UP_SUB,,22.25,22.35,UP_SUB,defect,2026-09-04,2,critical,2026-09-28,true,disconnection,253,5,none,true,true,true,done
ENG-2026-04001,TMS,TMS-04001,ENG,ENG-TAMPING,BL-TITRL-01,edge,TI-TRL-DN,,31.95,33.95,DN,routine,2026-03-18,171,minor,,false,traffic_block,288,10,tamper,true,true,true,done
SNT-2026-00502,SMMS,SMMS-00502,SNT,SNT-CABLE-LAY,,edge,MSB-MS-DN_SUB,,3.84,4.30,DN_SUB,defect,2026-04-24,119,minor,,false,none,188,8,none,true,true,false,done
ENG-2026-04002,TMS,TMS-04002,ENG,ENG-SLEEPER-RENEWAL,SL-TRLAJJ-15,edge,TRL-AJJ-DN_SUB,,49.61,50.11,DN_SUB,defect,2026-07-13,56,minor,,false,traffic_block,318,20,none,false,true,true,pending
SNT-2025-00503,SMMS,SMMS-00503,SNT,SNT-POINT-SERVICE,PT-BBQ-06,node,,BBQ,2.00,2.00,,routine,2025-10-18,58,minor,,false,disconnection,57,3,none,true,false,true,cancelled
SNT-2026-00504,SMMS,SMMS-00504,SNT,SNT-AXLE-COUNTER,AC-TNPENR-02,edge,TNP-ENR-DN,,12.88,13.18,DN,overdue,2026-01-31,72,minor,,false,disconnection,96,3,none,true,true,true,done
TRD-2026-01001,TDMS,TDMS-01001,TRD,TRD-OHE-TENSION,OHE-PERABU-15,edge,PER-ABU-UP,,10.94,11.24,UP,routine,2026-05-12,39,minor,,false,power_block,97,4,OHE_tower_car,true,false,true,cancelled
ENG-2026-04003,TMS,TMS-04003,ENG,ENG-TURNOUT-OVERHAUL,TO-ENR-01,node,,ENR,16.00,16.00,,routine,2026-02-10,187,minor,,false,traffic_block,298,13,none,true,true,true,done
ENG-2026-04004,TMS,TMS-04004,ENG,ENG-TURNOUT-OVERHAUL,TO-AVD-05,node,,AVD,21.00,21.00,,routine,2026-08-14,24,minor,,false,traffic_block,408,14,none,false,true,true,pending
ENG-2026-04005,TMS,TMS-04005,ENG,ENG-RAIL-RENEWAL,RL-PERABU-24,edge,PER-ABU-UP_SUB,,7.05,7.55,UP_SUB,defect,2026-08-30,8,2,2026-12-02,false,traffic_block,423,25,none,false,true,true,scheduled
SNT-2025-00505,SMMS,SMMS-00505,SNT,SNT-POINT-REPLACE,PT-AJJ-02,node,,AJJ,69.00,69.00,,defect,2025-10-24,179,major,,false,disconnection,221,4,none,true,false,true,done
TRD-2026-01002,TDMS,TDMS-01002,TRD,TRD-OHE-MAST,MST-ABUAVD-04,edge,ABU-AVD-DN_SUB,,16.17,16.37,DN_SUB,routine,2026-02-25,62,major,2026-05-29,false,power_block,175,6,OHE_tower_car,false,true,true,done
ENG-2026-04006,TMS,TMS-04006,ENG,ENG-USFD-TEST,RL-ABUAVD-09,edge,ABU-AVD-UP,,16.46,21.00,UP,routine,2026-01-31,209,2,,false,traffic_block,141,3,USFD_car,true,false,true,done
TRD-2026-01003,TDMS,TDMS-01003,TRD,TRD-OHE-INSULATOR,INS-PERABU-08,edge,PER-ABU-UP_SUB,,13.19,13.29,UP_SUB,defect,2026-02-27,23,critical,2026-03-22,true,power_block,79,4,OHE_tower_car,true,true,true,done
