block_id,block_section_id,tasks_included,departments,merge_group_id,requested_start,requested_duration_min,sanctioned_start,sanctioned_duration_min,actual_start,actual_end,availed,overrun_min,overrun_reason,crew_id,machine_id,weather,season,was_merged
BLK-2025-00001,TRL-AJJ-DN_SUB,TRD-2025-01836,TRD,,2025-12-16 02:00,151,2025-12-16 02:00,189,2025-12-16 01:53,2025-12-16 05:01,true,-1,none,TRD-AJJ-A,OHE-TC-04,heavy_rain,monsoon,false
BLK-2026-00002,MAS-BBQ-UP_SUB,ENG-2026-05730,ENG,,2026-04-22 02:15,218,2026-04-22 02:15,271,2026-04-22 02:30,2026-04-22 06:23,true,-38,none,ENG-ENR-B,TAMP-SR-07,clear,normal,false
BLK-2025-00003,MSB-MS-UP_SUB,ENG-2025-04256,ENG,,2025-11-19 02:45,397,2025-11-19 02:45,494,2025-11-19 02:56,2025-11-19 09:58,true,-72,none,ENG-MBM-A,,rain,monsoon,false
BLK-2026-00004,CGL-WJ-SINGLE,ENG-2026-05316,ENG,,2026-07-09 01:30,145,2026-07-09 01:15,167,2026-07-09 01:32,2026-07-09 04:26,true,7,none,ENG-TRL-B,,clear,normal,false
BLK-2026-00005,MSB-MS-UP_SUB,SNT-2026-01364,SNT,,2026-05-24 03:30,119,2026-05-24 03:30,145,2026-05-24 03:47,2026-05-24 05:55,true,-17,none,SNT-CJ-A,,rain,normal,false
BLK-2026-00006,TI-TRL-UP,ENG-2026-04349,ENG,,2026-08-26 03:00,199,2026-08-26 02:45,244,2026-08-26 03:02,2026-08-26 06:34,true,-32,none,ENG-MBM-B,TAMP-SR-03,clear,normal,false
BLK-2025-00007,TRL-AJJ-DN,ENG-2025-04985;ENG-2026-05169;ENG-2026-05389,ENG,MG-2025-0001,2025-11-26 01:45,611,2025-11-26 02:00,734,2025-11-26 02:08,2025-11-26 14:11,true,-11,none,ENG-MSB-B,TAMP-SR-05,rain,monsoon,true
BLK-2025-00008,TI-TRL-UP_SUB,ENG-2025-04091,ENG,,2025-12-23 03:30,237,2025-12-23 03:15,296,,,false,,,ENG-MSB-A,,rain,monsoon,false
BLK-2026-00009,TRL-AJJ-DN_SUB,SNT-2026-01424,SNT,,2026-01-18 03:00,75,2026-01-18 03:00,87,2026-01-18 02:59,2026-01-18 04:37,true,11,crew_short,SNT-GI-A,,clear,normal,false
BLK-2026-00010,BBQ-TNP-UP,SNT-2026-01116;SNT-2026-01269;ENG-2026-05111,ENG;SNT,MG-2026-0002,2026-01-12 03:00,681,2026-01-12 03:00,833,2026-01-12 03:17,2026-01-12 14:52,true,-138,none,ENG-TI-C,,clear,normal,true
BLK-2026-00011,ENR-MJR-UP,TRD-2026-01198,TRD,,2026-03-28 02:15,75,2026-03-28 02:15,91,,,false,,,TRD-AJJ-A,OHE-TC-01,clear,normal,false
BLK-2026-00012,PER-ABU-UP_SUB,TRD-2026-01322,TRD,,2026-06-11 00:00,80,2026-06-11 00:00,99,2026-06-11 00:04,2026-06-11 01:21,true,-22,none,TRD-ENR-A,OHE-TC-08,clear,normal,false
BLK-2025-00013,PER-ABU-DN_SUB,ENG-2026-04818;ENG-2025-05064;ENG-2025-05108,ENG,MG-2025-0003,2025-11-14 02:30,725,2025-11-14 02:30,916,2025-11-14 02:34,2025-11-14 15:41,true,-129,none,ENG-TI-C,,clear,monsoon,true
BLK-2026-00014,TRL-AJJ-UP,SNT-2026-00622;TRD-2026-01364;SNT-2026-01031,SNT;TRD,MG-2026-0004,2026-01-25 02:30,192,2026-01-25 02:45,223,2026-01-25 02:42,2026-01-25 06:40,true,15,unexpected_condition,TRD-MSB-B,OHE-TC-05,clear,normal,true
BLK-2026-00015,MBM-GI-DN_SUB,SNT-2026-00989,SNT,,2026-06-01 03:15,40,2026-06-01 03:15,47,2026-06-01 03:06,2026-06-01 03:56,true,3,none,SNT-TBM-A,,clear,normal,false
BLK-2025-00016,PER-ABU-UP,ENG-2025-05259,ENG,,2025-12-22 02:00,409,2025-12-22 02:00,476,2025-12-22 02:08,2025-12-22 09:31,true,-33,none,ENG-ABU-A,,rain,monsoon,false
BLK-2026-00017,PV-TBM-UP_SUB,ENG-2026-04959,ENG,,2026-08-21 01:30,239,2026-08-21 01:30,286,2026-08-21 01:33,2026-08-21 05:02,true,-77,none,ENG-AJJ-B,TAMP-SR-07,clear,normal,false
BLK-2025-00018,PER-ABU-UP_SUB,SNT-2025-01360,SNT,,2025-10-07 00:15,104,2025-10-07 00:15,125,2025-10-07 00:27,2025-10-07 01:57,true,-35,none,SNT-CJ-A,,heavy_rain,monsoon,false
BLK-2026-00019,PV-TBM-UP,ENG-2025-04298;TRD-2026-01863;SNT-2025-00717,ENG;SNT;TRD,MG-2026-0005,2026-08-18 01:15,194,2026-08-18 01:30,243,2026-08-18 01:20,2026-08-18 05:12,true,-11,none,TRD-AJJ-C,OHE-TC-06,rain,normal,true
BLK-2026-00020,MSB-MS-UP,ENG-2026-06003,ENG,,2026-07-08 03:45,155,2026-07-08 03:45,192,2026-07-08 03:47,2026-07-08 07:03,true,4,none,ENG-AJJ-B,TAMP-SR-05,rain,normal,false
BLK-2026-00021,PV-TBM-UP_SUB,ENG-2026-05507,ENG,,2026-06-21 00:15,140,2026-06-21 00:15,168,,,false,,,ENG-TBM-B,BRM-SR-06,rain,normal,false
BLK-2026-00022,MSB-MS-DN_SUB,ENG-2026-06013,ENG,,2026-01-30 11:45,75,2026-01-30 12:00,88,2026-01-30 12:10,2026-01-30 13:23,true,-15,none,ENG-PER-A,,clear,normal,false
BLK-2026-00023,PER-ABU-DN,ENG-2025-05121,ENG,,2026-01-14 03:30,297,2026-01-14 03:30,346,2026-01-14 03:49,2026-01-14 09:37,true,2,none,ENG-TRL-B,,rain,normal,false
BLK-2025-00024,PV-TBM-DN_SUB,TRD-2025-01569,TRD,,2025-12-28 01:15,367,2025-12-28 01:00,441,2025-12-28 00:54,2025-12-28 09:28,true,73,material_delay,TRD-GI-B,OHE-TC-03,rain,monsoon,false
BLK-2026-00025,ENR-MJR-DN,ENG-2026-05976,ENG,,2026-03-06 02:00,99,2026-03-06 01:45,121,,,false,,,ENG-ENR-C,USFD-SR-01,rain,normal,false
BLK-2026-00026,MJR-PON-UP,ENG-2025-05810,ENG,,2026-01-24 02:30,202,2026-01-24 02:30,233,,,false,,,ENG-TNP-C,,clear,normal,false
BLK-2026-00027,MAS-BBQ-UP_SUB,SNT-2026-00739,SNT,,2026-03-15 02:15,149,2026-03-15 02:15,189,,,false,,,SNT-TNP-B,,clear,normal,false
BLK-2026-00028,TRL-AJJ-DN,ENG-2026-04922,ENG,,2026-04-17 03:45,126,2026-04-17 04:00,159,2026-04-17 04:08,2026-04-17 06:36,true,-11,none,ENG-MS-C,USFD-SR-04,clear,normal,false
BLK-2026-00029,MSB-MS-DN_SUB,ENG-2026-05387,ENG,,2026-03-10 02:00,424,2026-03-10 02:15,500,2026-03-10 02:18,2026-03-10 08:53,true,-105,none,ENG-ABU-A,,clear,normal,false
BLK-2026-00030,PON-GPD-DN,TRD-2026-01013,TRD,,2026-03-09 01:30,73,2026-03-09 01:15,90,2026-03-09 01:23,2026-03-09 02:51,true,-2,none,TRD-AVD-A,OHE-TC-08,clear,normal,false
BLK-2025-00031,ABU-AVD-UP_SUB,TRD-2025-01755,TRD,,2025-10-03 03:45,335,2025-10-03 04:00,413,2025-10-03 04:02,2025-10-03 09:12,true,-103,none,TRD-MSB-C,,clear,monsoon,false
BLK-2026-00032,MSB-MS-UP_SUB,ENG-2026-04631,ENG,,2026-09-04 02:00,181,2026-09-04 02:00,217,2026-09-04 01:57,2026-09-04 05:18,true,-16,none,ENG-STM-B,TAMP-SR-05,clear,normal,false
