defect_id,asset_id,defect_type,severity_at_raise,raised_date,attended_date,days_open,temporary_repair_applied,escalated,escalation_type,escalation_date
DFT-2025-00001,OHE-MSMBM-06,hard_spot,minor,2025-11-27,2026-01-13,47,true,false,,
DFT-2025-00002,MST-TNPENR-07,corrosion,minor,2025-11-04,2025-12-31,57,false,true,speed_restriction,2025-11-08
DFT-2025-00003,OHE-BBQPER-03,hard_spot,minor,2025-05-25,2025-06-14,20,false,false,,
DFT-2025-00004,LC-TITRL-01,check_rail_wear,major,2025-04-28,2025-05-17,19,false,false,,
DFT-2025-00005,OHE-BBQTNP-03,height_stagger,minor,2025-04-13,2025-05-28,45,true,false,,
DFT-2026-00006,RL-AVDTI-05,corrugation,2,2026-05-07,2026-05-18,11,true,false,,
DFT-2025-00007,OHE-TITRL-17,hard_spot,minor,2025-09-16,2025-10-13,27,false,false,,
DFT-2025-00008,TO-PER-08,gauge_defect,minor,2025-08-22,2025-10-29,68,false,false,,
DFT-2025-00009,AC-MASBBQ-02,reset_failure,minor,2025-11-11,2025-12-24,43,true,false,,
DFT-2025-00010,OHE-MSBMS-08,hard_spot,minor,2025-12-07,2026-01-31,55,false,false,,
DFT-2026-00011,OHE-TITRL-07,hard_spot,minor,2026-01-15,2026-03-11,55,false,false,,
DFT-2025-00012,MST-MBMGI-04,corrosion,major,2025-04-17,2025-05-09,22,false,false,,
DFT-2026-00013,CW-AVDTI-05,burn_mark,critical,2026-03-15,2026-03-22,7,false,true,punctuality_incident,2026-03-20
DFT-2026-00014,RL-TRLAJJ-29,corrugation,3,2026-03-26,2026-06-04,70,false,false,,
DFT-2026-00015,SG-TITRL-18,lamp_failure,minor,2026-09-01,,6,false,false,,
DFT-2026-00016,BL-MBMGI-03,fouling,minor,2026-06-14,2026-08-03,50,false,false,,
DFT-2026-00017,RL-BBQPER-06,corrugation,3,2026-02-01,2026-03-22,49,true,false,,
DFT-2026-00018,SL-TRLAJJ-09,fastening_failure,major,2026-05-24,2026-05-29,5,false,false,,
DFT-2026-00019,SL-PERABU-14,fastening_failure,minor,2026-07-21,2026-08-24,34,false,false,,
DFT-2025-00020,RL-ABUAVD-03,corrugation,3,2025-05-08,2025-05-23,15,false,false,,
DFT-2026-00021,RL-PERABU-23,wear,2,2026-03-26,2026-04-06,11,false,false,,
DFT-2026-00022,OHE-PONGPD-06,height_stagger,minor,2026-02-10,2026-02-22,12,false,false,,
DFT-2025-00023,AC-ENRMJR-03,reset_failure,minor,2025-03-26,2025-05-30,65,false,false,,
DFT-2026-00024,BR-TNPENR-01,bearing_defect,minor,2026-03-28,2026-04-14,17,false,false,,
DFT-2025-00025,CW-ENRMJR-04,wire_wear,minor,2025-04-21,2025-05-09,18,false,false,,
DFT-2026-00026,TO-AJJ-08,crossing_wear,minor,2026-03-09,2026-04-19,41,false,false,,
DFT-2026-00027,TO-AVD-03,switch_wear,minor,2026-01-30,2026-03-15,44,false,false,,
DFT-2026-00028,RL-MSMBM-17,corrugation,3,2026-07-26,,43,false,false,,
DFT-2025-00029,TO-BBQ-01,switch_wear,minor,2025-06-23,2025-07-03,10,false,false,,
DFT-2026-00030,RL-MSMBM-19,rail_flaw,1,2026-05-06,2026-05-13,7,false,false,,
DFT-2025-00031,TO-MAS-17,switch_wear,minor,2025-07-17,2025-09-03,48,false,false,,
DFT-2026-00032,SG-TITRL-03,lamp_failure,minor,2026-07-26,2026-08-16,21,true,false,,
DFT-2025-00033,RL-STMPV-16,corrugation,1,2025-09-17,2025-09-24,7,false,false,,
DFT-2026-00034,SL-BBQTNP-01,fastening_failure,major,2026-01-24,2026-02-03,10,false,false,,
DFT-2026-00035,MST-STMPV-01,corrosion,major,2026-05-02,2026-05-22,20,false,false,,
DFT-2025-00036,RL-MSBMS-10,corrugation,2,2025-03-20,2025-04-13,24,false,false,,
DFT-2025-00037,TO-MSB-10,switch_wear,critical,2025-10-19,2025-10-25,6,false,false,,
DFT-2026-00038,TO-BBQ-10,switch_wear,major,2026-02-03,2026-02-10,7,false,true,speed_restriction,2026-02-05
DFT-2026-00039,BL-TNPENR-01,drainage_choke,minor,2026-06-27,2026-08-19,53,false,true,speed_restriction,2026-08-11
DFT-2025-00040,AC-GISTM-04,reset_failure,minor,2025-06-07,2025-07-14,37,true,false,,
DFT-2026-00041,TC-TRLAJJ-02,shunt_failure,major,2026-02-02,2026-02-17,15,false,false,,
DFT-2025-00042,BL-CJ-02,fouling,major,2025-05-01,2025-05-13,12,false,true,speed_restriction,2025-05-11
DFT-2026-00043,RL-PONGPD-08,corrugation,3,2026-08-30,,8,false,false,,
DFT-2025-00044,BL-GPD-01,ballast_deficiency,minor,2025-06-22,2025-07-27,35,false,false,,
DFT-2026-00045,SL-TRLAJJ-07,fastening_failure,minor,2026-03-02,2026-03-13,11,true,false,,
DFT-2026-00046,MST-MSBMS-06,foundation_defect,major,2026-06-10,2026-06-26,16,false,false,,
DFT-2025-00047,MST-MJRPON-05,corrosion,major,2025-11-23,2025-12-04,11,false,false,,
DFT-2026-00048,AC-PONGPD-01,reset_failure,minor,2026-03-11,2026-04-03,23,false,false,,
DFT-2025-00049,TO-AVD-06,switch_wear,major,2025-05-18,2025-05-23,5,false,false,,
DFT-2025-00050,CW-ABUAVD-07,burn_mark,major,2025-05-24,2025-06-13,20,false,true,failure,2025-05-26
DFT-2025-00051,INS-TRLAJJ-17,cracked_insulator,minor,2025-04-19,2025-05-18,29,true,false,,
DFT-2026-00052,TC-PERABU-11,bonding_defect,minor,2026-05-08,2026-07-09,62,true,false,,
DFT-2026-00053,CW-PERABU-02,burn_mark,minor,2026-03-11,2026-04-20,40,false,false,,
DFT-2025-00054,MST-STMPV-06,foundation_defect,major,2025-12-26,2026-01-16,21,true,false,,
DFT-2025-00055,SG-PERABU-12,aspect_defect,minor,2025-04-29,2025-06-10,42,false,false,,
DFT-2026-00056,TC-GISTM-02,bonding_defect,critical,2026-05-11,2026-05-18,7,false,false,,
DFT-2026-00057,TC-TNPENR-03,bonding_defect,critical,2026-07-05,2026-07-07,2,false,false,,
DFT-2026-00058,BL-MBMGI-04,drainage_choke,minor,2026-08-17,,21,false,true,speed_restriction,2026-09-01
DFT-2025-00059,TC-MSMBM-02,shunt_failure,major,2025-08-03,2025-08-19,16,false,false,,
DFT-2026-00060,RL-TITRL-28,rail_flaw,2,2026-01-03,2026-01-23,20,false,false,,
DFT-2025-00061,PT-GPD-02,obstruction,minor,2025-07-16,2025-08-21,36,false,true,punctuality_incident,2025-07-18
DFT-2025-00062,MST-MASBBQ-01,foundation_defect,minor,2025-12-31,2026-02-21,52,false,false,,
DFT-2025-00063,TC-MSMBM-11,shunt_failure,major,2025-08-06,2025-08-18,12,false,false,,
DFT-2025-00064,RL-MSMBM-09,corrugation,3,2025-04-27,2025-06-08,42,false,true,speed_restriction,2025-05-15
DFT-2026-00065,RL-PERABU-18,corrugation,1,2026-04-03,2026-04-08,5,false,false,,
DFT-2025-00066,TO-AJJ-01,switch_wear,major,2025-10-03,2025-10-19,16,false,false,,
DFT-2026-00067,SL-MSMBM-04,cracked_sleeper,minor,2026-05-28,2026-07-04,37,false,false,,
DFT-2026-00068,PT-TNP-03,motor_fault,minor,2026-04-06,2026-05-24,48,false,false,,
DFT-2025-00069,TO-PER-07,crossing_wear,minor,2025-07-16,2025-08-19,34,false,false,,
DFT-2025-00070,AC-PERABU-07,head_fault,minor,2025-12-23,2026-01-23,31,false,false,,
DFT-2026-00071,CW-GISTM-02,burn_mark,critical,2026-02-28,2026-03-05,5,true,false,,
DFT-2026-00072,MST-PERABU-13,corrosion,major,2026-04-19,2026-04-27,8,false,false,,
