block_id,analytical_estimate_min,trains_affected,total_detention_min,rerouted_count,cancelled_count,time_band
BLK-2025-00001,0,0,0,0,0,00-06
BLK-2025-00003,20077,66,23946,0,0,00-06
BLK-2026-00005,1173,16,1356,0,0,00-06
BLK-2025-00007,106,13,108,13,0,00-06
BLK-2026-00009,0,0,0,0,0,00-06
BLK-2026-00012,0,0,0,0,0,00-06
BLK-2025-00013,74389,123,88484,0,0,00-06
BLK-2026-00014,29,4,19,4,0,00-06
BLK-2026-00015,0,0,0,0,0,00-06
BLK-2025-00016,40,6,51,6,0,00-06
BLK-2025-00018,0,0,0,0,0,00-06
BLK-2026-00019,238,6,256,1,0,00-06
BLK-2026-00020,858,10,943,0,0,00-06
BLK-2026-00022,1030,15,1244,0,0,12-18
BLK-2026-00023,66,7,79,7,0,00-06
BLK-2025-00024,6291,37,7641,0,0,00-06
BLK-2026-00028,26,3,21,3,0,00-06
BLK-2026-00029,20904,67,24463,0,0,00-06
BLK-2026-00030,6,1,6,1,0,00-06
BLK-2025-00033,0,0,0,0,0,00-06
BLK-2026-00035,89,1,98,0,0,00-06
BLK-2025-00038,99,13,160,13,0,18-24
BLK-2026-00039,223,28,237,28,0,00-06
BLK-2026-00040,31,4,23,4,0,00-06
BLK-2025-00045,6,1,8,1,0,00-06
BLK-2026-00046,6,1,3,1,0,00-06
BLK-2026-00047,0,0,0,0,0,00-06
BLK-2026-00049,11,2,17,2,0,00-06
BLK-2026-00051,4173,22,4462,1,0,00-06
BLK-2026-00052,7604,29,8062,1,0,00-06
BLK-2026-00054,421,10,467,0,0,00-06
BLK-2026-00055,169,4,183,0,0,00-06
BLK-2026-00056,6,1,5,1,0,00-06
BLK-2026-00057,407,9,450,0,0,00-06
BLK-2025-00060,177,22,252,22,0,18-24
BLK-2026-00061,71,8,62,8,0,00-06
BLK-2026-00062,7646,29,8676,0,0,12-18
BLK-2026-00065,9477,45,11222,0,0,00-06
BLK-2026-00066,191,5,200,0,0,00-06
BLK-2026-00067,0,0,0,0,0,00-06
BLK-2026-00069,0,0,0,0,0,00-06
BLK-2026-00070,601,7,663,0,0,00-06
BLK-2026-00071,29,4,32,4,0,06-12
BLK-2026-00072,1713,11,1851,0,0,00-06
BLK-2025-00074,54,6,63,6,0,00-06
BLK-2025-00075,81,11,76,11,0,00-06
BLK-2026-00076,474,8,568,0,0,00-06
BLK-2026-00077,0,0,0,0,0,00-06
BLK-2025-00078,23,3,30,3,0,00-06
BLK-2026-00079,365,9,424,0,0,00-06
BLK-2026-00080,34,5,51,5,0,00-06
BLK-2026-00081,1701,13,1866,0,0,00-06
BLK-2026-00082,167,22,266,22,0,18-24
BLK-2026-00083,23,3,26,3,0,00-06
BLK-2026-00084,23,3,31,3,0,00-06
BLK-2026-00086,220,28,287,28,0,00-06
BLK-2026-00087,23,3,30,3,0,00-06
BLK-2026-00088,6,1,8,1,0,00-06
BLK-2026-00089,858,12,977,0,0,00-06
BLK-2025-00092,241,30,286,30,0,00-06
BLK-2026-00093,17557,60,21375,0,0,00-06
BLK-2026-00097,0,0,0,0,0,00-06
BLK-2026-00098,162,20,117,20,0,00-06
BLK-2026-00100,17129,61,19626,0,0,00-06
BLK-2026-00102,282,35,293,35,0,00-06
BLK-2026-00104,428,6,462,0,0,00-06
BLK-2026-00105,62,10,80,10,0,00-06
