event_id,event_type,block_section_id,km,occurred_at,duration_min,resources_consumed,blocks_invalidated,followup_task_id
EMG-2025-0001,OHE_failure,MSB-MS-UP,2.15,2025-10-16 00:45,175,TRD-AJJ-C;OHE-TC-06,,TRD-2026-01670
EMG-2025-0002,other,TRL-AJJ-UP,43.49,2025-09-23 20:30,143,ENG-ABU-A,BLK-2026-01892;BLK-2025-00200,
EMG-2025-0003,point_failure,BBQ-PER-DN,3.09,2025-12-08 22:00,165,SNT-GPD-C,,
EMG-2026-0004,cattle_run_over,ENR-MJR-UP,23.73,2026-01-08 06:45,36,ENG-MJR-C,,
EMG-2026-0005,rail_fracture,TI-TRL-DN,40.46,2026-05-14 20:45,148,ENG-CJ-A,,ENG-2026-05224
EMG-2026-0006,signal_failure,MAS-BBQ-UP,1.95,2026-07-24 13:30,139,SNT-AVD-B,,
EMG-2026-0007,signal_failure,ENR-MJR-UP,24.20,2026-02-26 06:15,79,SNT-GI-B,,
EMG-2026-0008,weather,MSB-MS-DN_SUB,1.70,2026-04-04 20:30,342,ENG-AVD-C,,
EMG-2026-0009,cattle_run_over,TNP-ENR-UP,10.04,2026-02-12 07:30,57,ENG-MBM-C,,
EMG-2025-0010,weather,STM-PV-UP_SUB,18.76,2025-09-27 21:45,460,ENG-STM-C,,
EMG-2026-0011,point_failure,MSB-MS-DN_SUB,3.89,2026-01-17 15:45,152,SNT-AJJ-B,BLK-2025-00874;BLK-2026-02058,SNT-2026-01259
EMG-2026-0012,signal_failure,MS-MBM-DN,8.27,2026-06-15 18:45,115,SNT-MSB-A,BLK-2025-00038;BLK-2026-02335,
EMG-2026-0013,rail_fracture,MJR-PON-UP,32.19,2026-05-03 18:45,215,ENG-PV-A,,ENG-2025-05451
EMG-2026-0014,signal_failure,PER-ABU-DN_SUB,9.27,2026-03-21 00:15,91,SNT-GI-A,,
EMG-2025-0015,point_failure,BBQ-PER-UP_SUB,4.88,2025-10-29 23:15,68,SNT-PER-B,,SNT-2025-01483
EMG-2026-0016,weather,TRL-AJJ-UP,59.86,2026-02-08 06:00,235,ENG-MAS-B,BLK-2026-00193,
EMG-2026-0017,point_failure,PER-ABU-UP_SUB,12.06,2026-07-07 06:00,109,SNT-PER-B,,SNT-2026-00902
EMG-2026-0018,cattle_run_over,WJ-CJ-SINGLE,87.13,2026-06-26 08:15,51,ENG-MJR-C,,
EMG-2026-0019,signal_failure,ABU-AVD-DN,20.90,2026-03-13 08:15,88,SNT-TBM-B,,
EMG-2026-0020,cattle_run_over,ENR-MJR-DN,23.76,2026-06-19 05:45,41,ENG-PER-B,,
EMG-2026-0021,cattle_run_over,TNP-ENR-UP,15.18,2026-09-03 06:45,56,ENG-TRL-C,,
EMG-2026-0022,point_failure,MBM-GI-UP_SUB,12.30,2026-08-05 23:30,84,SNT-MSB-B,,SNT-2026-00596
EMG-2025-0023,point_failure,GI-STM-DN,16.82,2025-11-13 05:30,176,SNT-ENR-B,,
EMG-2026-0024,rail_fracture,TI-TRL-DN,32.05,2026-04-05 08:45,298,ENG-PER-A;USFD-SR-04,,ENG-2026-04947
EMG-2025-0025,weather,ABU-AVD-DN_SUB,17.69,2025-10-22 05:00,247,ENG-MAS-A,,
EMG-2026-0026,rail_fracture,ABU-AVD-DN,19.85,2026-08-11 07:30,166,ENG-MBM-A,BLK-2026-01250;BLK-2026-01704,
EMG-2025-0027,OHE_failure,BBQ-PER-DN_SUB,5.00,2025-12-28 20:15,148,TRD-TBM-C;OHE-TC-07,,TRD-2026-01241
