asset_id,asset_type,department,block_section_id,station_code,km,criticality_class,install_date,last_overhaul_date,cumulative_tonnage_gmt,failure_count_12m
OHE-ABUAVD-01,OHE_span,TRD,ABU-AVD-DN,,16.66,C,1994-03-28,2018-09-19,,0
OHE-ABUAVD-02,OHE_span,TRD,ABU-AVD-DN,,20.79,C,2017-08-19,,,0
OHE-ABUAVD-03,OHE_span,TRD,ABU-AVD-DN,,19.32,B,2022-08-20,,,0
AC-ABUAVD-01,axle_counter,SNT,ABU-AVD-DN,,17.03,B,2017-05-03,2022-05-04,353.8,0
BL-ABUAVD-01,ballast,ENG,ABU-AVD-DN,,15.44,B,2022-08-25,,346.8,0
BL-ABUAVD-02,ballast,ENG,ABU-AVD-DN,,17.99,B,2015-09-27,2023-04-28,470.6,1
CW-ABUAVD-01,contact_wire,TRD,ABU-AVD-DN,,17.21,B,2012-08-14,2026-06-25,,0
CW-ABUAVD-02,contact_wire,TRD,ABU-AVD-DN,,18.64,B,2003-05-09,2020-01-03,,0
INS-ABUAVD-01,insulator,TRD,ABU-AVD-DN,,19.54,C,2014-09-22,2025-11-08,,0
MST-ABUAVD-01,mast,TRD,ABU-AVD-DN,,18.82,B,1990-11-04,2023-02-21,,1
MST-ABUAVD-02,mast,TRD,ABU-AVD-DN,,17.73,C,1985-01-16,2025-01-03,,1
RL-ABUAVD-01,rail,ENG,ABU-AVD-DN,,16.72,B,2008-12-08,2025-08-05,196.8,0
RL-ABUAVD-02,rail,ENG,ABU-AVD-DN,,15.85,B,2005-07-12,2023-08-29,771.9,2
RL-ABUAVD-03,rail,ENG,ABU-AVD-DN,,18.89,B,2006-02-09,2018-10-25,633.2,0
RL-ABUAVD-04,rail,ENG,ABU-AVD-DN,,17.76,B,2011-11-02,2021-12-18,827.8,2
SG-ABUAVD-01,signal,SNT,ABU-AVD-DN,,20.23,B,2011-08-19,2026-04-04,,1
SG-ABUAVD-02,signal,SNT,ABU-AVD-DN,,20.46,B,2009-06-16,2020-10-01,,1
SL-ABUAVD-01,sleeper,ENG,ABU-AVD-DN,,20.06,C,1996-03-11,2010-12-23,1213.1,3
SL-ABUAVD-02,sleeper,ENG,ABU-AVD-DN,,19.48,B,1989-12-22,2010-05-23,1645.6,3
TC-ABUAVD-01,track_circuit,SNT,ABU-AVD-DN,,15.51,B,2020-03-26,2026-01-08,579.9,1
