block_section_id,from_station,to_station,line_id,start_km,end_km,corridor_id,parallel_edges,next_sections,electrified,sectional_speed_kmph,daily_train_count,traffic_type,bidirectional_capable,monsoon_sensitive,division_id
MAS-BBQ-UP,MAS,BBQ,UP,0.0,2.0,MAS-AJJ,MAS-BBQ-DN;MAS-BBQ-UP_SUB;MAS-BBQ-DN_SUB,BBQ-PER-UP;BBQ-TNP-UP,true,75,95,trunk,true,true,SR-MAS
MAS-BBQ-DN,MAS,BBQ,DN,0.0,2.0,MAS-AJJ,MAS-BBQ-UP;MAS-BBQ-UP_SUB;MAS-BBQ-DN_SUB,BBQ-PER-DN;BBQ-TNP-DN,true,75,95,trunk,true,true,SR-MAS
MAS-BBQ-UP_SUB,MAS,BBQ,UP_SUB,0.0,2.0,MAS-AJJ,MAS-BBQ-UP;MAS-BBQ-DN;MAS-BBQ-DN_SUB,BBQ-PER-UP_SUB,true,60,175,suburban,false,true,SR-MAS
MAS-BBQ-DN_SUB,MAS,BBQ,DN_SUB,0.0,2.0,MAS-AJJ,MAS-BBQ-UP;MAS-BBQ-DN;MAS-BBQ-UP_SUB,BBQ-PER-DN_SUB,true,60,175,suburban,false,true,SR-MAS
BBQ-PER-UP,BBQ,PER,UP,2.0,5.0,MAS-AJJ,BBQ-PER-DN;BBQ-PER-UP_SUB;BBQ-PER-DN_SUB,PER-ABU-UP,true,100,88,trunk,true,true,SR-MAS
BBQ-PER-DN,BBQ,PER,DN,2.0,5.0,MAS-AJJ,BBQ-PER-UP;BBQ-PER-UP_SUB;BBQ-PER-DN_SUB,PER-ABU-DN,true,100,88,trunk,true,true,SR-MAS
BBQ-PER-UP_SUB,BBQ,PER,UP_SUB,2.0,5.0,MAS-AJJ,BBQ-PER-UP;BBQ-PER-DN;BBQ-PER-DN_SUB,PER-ABU-UP_SUB,true,80,170,suburban,false,true,SR-MAS
BBQ-PER-DN_SUB,BBQ,PER,DN_SUB,2.0,5.0,MAS-AJJ,BBQ-PER-UP;BBQ-PER-DN;BBQ-PER-UP_SUB,PER-ABU-DN_SUB,true,80,170,suburban,false,true,SR-MAS
PER-ABU-UP,PER,ABU,UP,5.0,15.0,MAS-AJJ,PER-ABU-DN;PER-ABU-UP_SUB;PER-ABU-DN_SUB,ABU-AVD-UP,true,110,82,trunk,true,true,SR-MAS
PER-ABU-DN,PER,ABU,DN,5.0,15.0,MAS-AJJ,PER-ABU-UP;PER-ABU-UP_SUB;PER-ABU-DN_SUB,ABU-AVD-DN,true,110,82,trunk,true,true,SR-MAS
PER-ABU-UP_SUB,PER,ABU,UP_SUB,5.0,15.0,MAS-AJJ,PER-ABU-UP;PER-ABU-DN;PER-ABU-DN_SUB,ABU-AVD-UP_SUB,true,100,160,suburban,false,true,SR-MAS
PER-ABU-DN_SUB,PER,ABU,DN_SUB,5.0,15.0,MAS-AJJ,PER-ABU-UP;PER-ABU-DN;PER-ABU-UP_SUB,ABU-AVD-DN_SUB,true,100,160,suburban,false,true,SR-MAS
ABU-AVD-UP,ABU,AVD,UP,15.0,21.0,MAS-AJJ,ABU-AVD-DN;ABU-AVD-UP_SUB;ABU-AVD-DN_SUB,AVD-TI-UP,true,110,80,trunk,true,false,SR-MAS
ABU-AVD-DN,ABU,AVD,DN,15.0,21.0,MAS-AJJ,ABU-AVD-UP;ABU-AVD-UP_SUB;ABU-AVD-DN_SUB,AVD-TI-DN,true,110,80,trunk,true,false,SR-MAS
ABU-AVD-UP_SUB,ABU,AVD,UP_SUB,15.0,21.0,MAS-AJJ,ABU-AVD-UP;ABU-AVD-DN;ABU-AVD-DN_SUB,AVD-TI-UP_SUB,true,100,150,suburban,false,false,SR-MAS
ABU-AVD-DN_SUB,ABU,AVD,DN_SUB,15.0,21.0,MAS-AJJ,ABU-AVD-UP;ABU-AVD-DN;ABU-AVD-UP_SUB,AVD-TI-DN_SUB,true,100,150,suburban,false,false,SR-MAS
