rule_id,type_a,type_b,relation,condition,max_distance_m,rule_basis,validated_by
CMP-001,ENG-BALLAST-SCREEN,ENG-TAMPING,sequential,Same stretch,500,Deep screening leaves the ballast bed disturbed; tamping restores geometry afterwards and is void if run first,
CMP-002,ENG-TAMPING,ENG-BALLAST-REGULATE,sequential,Same stretch,500,Tamping throws ballast out of profile and the regulator restores the section afterwards,
CMP-003,ENG-TAMPING,ENG-DESTRESSING,sequential,Same stretch on long welded rail,1000,Tamping disturbs the rail seat and alters the stress-free state; destressing must be the final operation,
CMP-004,ENG-RAIL-RENEWAL,ENG-DESTRESSING,sequential,Same stretch,1000,Newly inserted panels carry no defined stress-free temperature until destressed,
CMP-005,ENG-SLEEPER-RENEWAL,ENG-TAMPING,sequential,Same stretch,500,Newly laid sleepers have no packing and geometry is only achievable after tamping,
CMP-006,ENG-RAIL-RENEWAL,ENG-USFD-TEST,sequential,Same stretch,1000,Flaw detection over the new welds is the acceptance test for the renewal,
CMP-007,ENG-USFD-TEST,ENG-RAIL-WELD,sequential,Same stretch,2000,Welding attends to what the test finds; running the test afterwards wastes the trip,
CMP-008,ENG-TAMPING,ENG-RAIL-GRIND,incompatible,Same block section and line,,Two self-propelled heavy machines cannot pass one another inside one blocked line,
CMP-009,ENG-BALLAST-SCREEN,ENG-RAIL-RENEWAL,incompatible,Same stretch,500,BCM working and manual panel insertion cannot occupy the same formation,
CMP-010,ENG-DRAIN-CLEAR,ENG-TAMPING,parallel,Same block section,,Drain work is off-track in the cess and does not obstruct machine movement,
CMP-011,ENG-BRIDGE-REPAIR,ENG-TAMPING,incompatible,Same block section and line,,A tamper may not run over a girder under repair with its bearings released,
CMP-012,TRD-OHE-INSP,ENG-TAMPING,sequential,Same block section and line,,Both are rail-borne machines and the tower car must clear the section before the tamper enters,
CMP-013,ENG-TAMPING,TRD-OHE-WIRE-RENEW,incompatible,Same stretch,200,Tamping lifts and slews the track and alters the contact wire height and stagger the renewal has just set,
CMP-014,ENG-RAIL-RENEWAL,TRD-OHE-EARTHING,sequential,Same stretch,500,Panel insertion breaks the traction return bonds; earthing must be re-proved afterwards,
CMP-015,ENG-BALLAST-SCREEN,TRD-OHE-MAST,incompatible,Same stretch,200,Screening excavates alongside the mast foundation while the structure is being worked on,
CMP-016,ENG-DRAIN-CLEAR,TRD-OHE-INSP,parallel,Same block section,,Cess work stays clear of the OHE danger zone and of the tower car path,
CMP-017,ENG-LC-ATTENTION,TRD-OHE-DROPPER,parallel,Same block section,,Independent worksites and neither obstructs the other access,
CMP-018,SNT-POINT-SERVICE,ENG-TAMPING,incompatible,Same turnout or within 200 m,200,Heavy machine movement over a disconnected point machine,
CMP-019,ENG-TURNOUT-TAMP,SNT-POINT-SERVICE,sequential,Same turnout,100,Tamping disturbs point setting and detection; the point machine must be re-adjusted and proved afterwards,
CMP-020,ENG-TAMPING,SNT-TRACK-CIRCUIT,sequential,Same stretch,500,Tamping disturbs rail bonds and ballast resistance; the track circuit must be re-tuned afterwards,
CMP-021,ENG-RAIL-RENEWAL,SNT-TRACK-CIRCUIT,sequential,Same stretch,500,Panel insertion severs track circuit bonding and re-bonding is part of restoring the section,
CMP-022,ENG-BALLAST-SCREEN,SNT-CABLE-LAY,incompatible,Same stretch,200,Screening excavates the cess and formation through which the S&T cable route runs,
CMP-023,ENG-BALLAST-SCREEN,SNT-AXLE-COUNTER,incompatible,Same stretch,100,The BCM lifts the track through the axle counter head mounting,
CMP-024,ENG-TAMPING,SNT-AXLE-COUNTER,sequential,Same stretch,100,Tamping displaces the axle counter head and it must be reset and proved afterwards,
CMP-025,ENG-YARD-PWAY,SNT-POINT-SERVICE,parallel,Same station and different turnouts,200,Independent worksites inside one station disconnection provided the P.Way gang is clear of the point being tested,
CMP-026,ENG-USFD-TEST,SNT-SIGNAL-LAMP,parallel,Same block section,,Lamp checks are made from the ground clear of the line and do not obstruct the test car,
CMP-027,ENG-TURNOUT-OVERHAUL,SNT-INTERLOCK-TEST,sequential,Same station,,Interlocking must be re-tested after switch and crossing renewal alters the point layout,
CMP-028,ENG-LC-ATTENTION,SNT-LC-GATE,parallel,Same level crossing,50,Track surface and gate interlocking are worked at one crossing in a single occupation as standard combined attention,
CMP-029,TRD-OHE-MAST,SNT-SIGNAL-REPLACE,incompatible,Within 100 m,100,Two lineside structures erected within overlapping crane and ladder radius,
CMP-030,TRD-OHE-INSP,SNT-SIGNAL-LAMP,parallel,Same block section,,Independent inspections and the tower car passes without disturbing ground level lamp checks,
CMP-031,TRD-OHE-EARTHING,SNT-TRACK-CIRCUIT,incompatible,Same stretch,200,Traction return bonding and track circuit bonding share the same rails and both cannot be broken at once,
CMP-032,TRD-SUBSTN-MAINT,SNT-RELAY-ROOM,parallel,Same station,,Both are indoor tasks needing no track access and no shared apparatus,
CMP-033,TRD-OHE-YARD,SNT-POINT-SERVICE,parallel,Same station and different tracks,200,Yard OHE work overhead and point servicing at rail level are independent when not over the same turnout,
CMP-034,TRD-OHE-FAULT,SNT-AXLE-COUNTER,parallel,Same block section,,Independent equipment with the OHE crew overhead and the S&T crew at rail level,
CMP-035,TRD-NEUTRAL-SECTION,SNT-SIGNAL-REPLACE,incompatible,Within 200 m,200,Signal sighting distance must be re-proved after either change and doing both together leaves neither verifiable,
CMP-036,ENG-BRIDGE-INSP,TRD-OHE-INSP,parallel,Same block section,,Both are inspections needing no plant and one traffic block with a power block serves both,
CMP-037,ENG-DESTRESSING,SNT-TRACK-CIRCUIT,sequential,Same stretch,500,Destressing cuts and re-welds the rail and severs track circuit continuity,
CMP-038,ENG-RAIL-GRIND,SNT-TRACK-CIRCUIT,sequential,Same stretch,500,Grinding alters the railhead surface the track circuit relies on for shunting,
CMP-039,ENG-RAIL-WELD,TRD-OHE-INSP,parallel,Different worksites within one block section,,Fixed point welding and a run-through OHE inspection share one block with the tower car stopped clear of the weld,
CMP-040,TRD-OHE-INSP,SNT-POINT-SERVICE,sequential,Same station limits,500,Point detection cannot be proved while the tower car stands on the connection so the disconnection follows the inspection,
