crew_id,department,base_section,size,shift_pattern,qualifications,min_rest_hours,max_consecutive_nights,max_weekly_duty_hours,division_id
ENG-MAS-A,ENG,MAS-BBQ-UP_SUB,17,rotating_2,ENG-RAIL-WELD;ENG-LC-ATTENTION;ENG-DRAIN-CLEAR;ENG-TRACK-PATROL;ENG-YARD-PWAY;ENG-SLEEPER-RENEWAL,12,2,48,SR-MAS
ENG-PER-A,ENG,BBQ-PER-UP_SUB,13,rotating_3,ENG-RAIL-WELD;ENG-LC-ATTENTION;ENG-DRAIN-CLEAR;ENG-TRACK-PATROL;ENG-YARD-PWAY;ENG-SLEEPER-RENEWAL,12,3,48,SR-MAS
ENG-ABU-A,ENG,PER-ABU-UP_SUB,14,rotating_2,ENG-RAIL-WELD;ENG-LC-ATTENTION;ENG-DRAIN-CLEAR;ENG-TRACK-PATROL;ENG-YARD-PWAY;ENG-SLEEPER-RENEWAL,12,2,48,SR-MAS
ENG-AVD-A,ENG,ABU-AVD-UP_SUB,16,rotating_2,ENG-RAIL-WELD;ENG-LC-ATTENTION;ENG-DRAIN-CLEAR;ENG-TRACK-PATROL;ENG-YARD-PWAY;ENG-SLEEPER-RENEWAL,12,2,52,SR-MAS
ENG-TI-A,ENG,AVD-TI-UP,16,rotating_3,ENG-RAIL-WELD;ENG-LC-ATTENTION;ENG-DRAIN-CLEAR;ENG-TRACK-PATROL;ENG-YARD-PWAY;ENG-SLEEPER-RENEWAL,12,3,48,SR-MAS
ENG-TRL-A,ENG,TI-TRL-UP,13,rotating_2,ENG-RAIL-WELD;ENG-LC-ATTENTION;ENG-DRAIN-CLEAR;ENG-TRACK-PATROL;ENG-YARD-PWAY;ENG-SLEEPER-RENEWAL,12,2,52,SR-MAS
ENG-AJJ-A,ENG,TRL-AJJ-UP,20,rotating_2,ENG-RAIL-WELD;ENG-LC-ATTENTION;ENG-DRAIN-CLEAR;ENG-TRACK-PATROL;ENG-YARD-PWAY;ENG-SLEEPER-RENEWAL,12,2,52,SR-MAS
ENG-TNP-A,ENG,BBQ-TNP-UP,12,rotating_2,ENG-RAIL-WELD;ENG-LC-ATTENTION;ENG-DRAIN-CLEAR;ENG-TRACK-PATROL;ENG-YARD-PWAY;ENG-SLEEPER-RENEWAL,12,2,52,SR-MAS
ENG-ENR-A,ENG,TNP-ENR-UP,19,rotating_2,ENG-RAIL-WELD;ENG-LC-ATTENTION;ENG-DRAIN-CLEAR;ENG-TRACK-PATROL;ENG-YARD-PWAY;ENG-SLEEPER-RENEWAL,12,2,48,SR-MAS
ENG-MJR-A,ENG,ENR-MJR-UP,16,rotating_3,ENG-RAIL-WELD;ENG-LC-ATTENTION;ENG-DRAIN-CLEAR;ENG-TRACK-PATROL;ENG-YARD-PWAY;ENG-SLEEPER-RENEWAL,12,3,48,SR-MAS
ENG-GPD-A,ENG,PON-GPD-UP,15,rotating_2,ENG-RAIL-WELD;ENG-LC-ATTENTION;ENG-DRAIN-CLEAR;ENG-TRACK-PATROL;ENG-YARD-PWAY;ENG-SLEEPER-RENEWAL,12,2,48,SR-MAS
ENG-MSB-A,ENG,MSB-MS-UP_SUB,19,rotating_2,ENG-RAIL-WELD;ENG-LC-ATTENTION;ENG-DRAIN-CLEAR;ENG-TRACK-PATROL;ENG-YARD-PWAY;ENG-SLEEPER-RENEWAL,12,2,48,SR-MAS
ENG-MS-A,ENG,MSB-MS-UP_SUB,16,rotating_3,ENG-RAIL-WELD;ENG-LC-ATTENTION;ENG-DRAIN-CLEAR;ENG-TRACK-PATROL;ENG-YARD-PWAY;ENG-SLEEPER-RENEWAL,12,3,54,SR-MAS
ENG-MBM-A,ENG,MS-MBM-UP_SUB,16,rotating_2,ENG-RAIL-WELD;ENG-LC-ATTENTION;ENG-DRAIN-CLEAR;ENG-TRACK-PATROL;ENG-YARD-PWAY;ENG-SLEEPER-RENEWAL,12,2,48,SR-MAS
ENG-GI-A,ENG,MBM-GI-UP_SUB,11,rotating_2,ENG-RAIL-WELD;ENG-LC-ATTENTION;ENG-DRAIN-CLEAR;ENG-TRACK-PATROL;ENG-YARD-PWAY;ENG-SLEEPER-RENEWAL,12,2,52,SR-MAS
ENG-STM-A,ENG,GI-STM-UP_SUB,20,rotating_3,ENG-RAIL-WELD;ENG-LC-ATTENTION;ENG-DRAIN-CLEAR;ENG-TRACK-PATROL;ENG-YARD-PWAY;ENG-SLEEPER-RENEWAL,12,3,52,SR-MAS
ENG-PV-A,ENG,STM-PV-UP_SUB,10,rotating_3,ENG-RAIL-WELD;ENG-LC-ATTENTION;ENG-DRAIN-CLEAR;ENG-TRACK-PATROL;ENG-YARD-PWAY;ENG-SLEEPER-RENEWAL,12,3,52,SR-MAS
ENG-TBM-A,ENG,PV-TBM-UP_SUB,16,rotating_3,ENG-RAIL-WELD;ENG-LC-ATTENTION;ENG-DRAIN-CLEAR;ENG-TRACK-PATROL;ENG-YARD-PWAY;ENG-SLEEPER-RENEWAL,12,3,48,SR-MAS
ENG-CGL-A,ENG,CGL-WJ-SINGLE,15,rotating_2,ENG-RAIL-WELD;ENG-LC-ATTENTION;ENG-DRAIN-CLEAR;ENG-TRACK-PATROL;ENG-YARD-PWAY;ENG-SLEEPER-RENEWAL,12,2,48,SR-MAS
ENG-CJ-A,ENG,WJ-CJ-SINGLE,17,rotating_3,ENG-RAIL-WELD;ENG-LC-ATTENTION;ENG-DRAIN-CLEAR;ENG-TRACK-PATROL;ENG-YARD-PWAY;ENG-SLEEPER-RENEWAL,12,3,48,SR-MAS
ENG-MAS-B,ENG,MAS-BBQ-UP_SUB,14,rotating_3,ENG-RAIL-WELD;ENG-LC-ATTENTION;ENG-DRAIN-CLEAR;ENG-TRACK-PATROL;ENG-YARD-PWAY;ENG-SLEEPER-RENEWAL,12,3,52,SR-MAS
ENG-PER-B,ENG,BBQ-PER-UP_SUB,14,rotating_2,ENG-RAIL-WELD;ENG-LC-ATTENTION;ENG-DRAIN-CLEAR;ENG-TRACK-PATROL;ENG-YARD-PWAY;ENG-SLEEPER-RENEWAL,12,2,54,SR-MAS
ENG-ABU-B,ENG,PER-ABU-UP_SUB,17,rotating_3,ENG-RAIL-WELD;ENG-LC-ATTENTION;ENG-DRAIN-CLEAR;ENG-TRACK-PATROL;ENG-YARD-PWAY;ENG-SLEEPER-RENEWAL,12,3,52,SR-MAS
ENG-AVD-B,ENG,ABU-AVD-UP_SUB,20,rotating_2,ENG-RAIL-WELD;ENG-LC-ATTENTION;ENG-DRAIN-CLEAR;ENG-TRACK-PATROL;ENG-YARD-PWAY;ENG-SLEEPER-RENEWAL,12,2,54,SR-MAS
ENG-TI-B,ENG,AVD-TI-UP,10,rotating_2,ENG-RAIL-WELD;ENG-LC-ATTENTION;ENG-DRAIN-CLEAR;ENG-TRACK-PATROL;ENG-YARD-PWAY;ENG-SLEEPER-RENEWAL,12,2,54,SR-MAS
ENG-TRL-B,ENG,TI-TRL-UP,20,rotating_3,ENG-RAIL-WELD;ENG-LC-ATTENTION;ENG-DRAIN-CLEAR;ENG-TRACK-PATROL;ENG-YARD-PWAY;ENG-SLEEPER-RENEWAL,12,3,52,SR-MAS
ENG-AJJ-B,ENG,TRL-AJJ-UP,10,rotating_3,ENG-TAMPING;ENG-TURNOUT-TAMP;ENG-BALLAST-REGULATE;ENG-BALLAST-SCREEN;ENG-CURVE-REALIGN;ENG-RAIL-GRIND,12,3,48,SR-MAS
ENG-TNP-B,ENG,BBQ-TNP-UP,7,rotating_2,ENG-TAMPING;ENG-TURNOUT-TAMP;ENG-BALLAST-REGULATE;ENG-BALLAST-SCREEN;ENG-CURVE-REALIGN;ENG-RAIL-GRIND,12,2,48,SR-MAS
ENG-ENR-B,ENG,TNP-ENR-UP,6,rotating_3,ENG-TAMPING;ENG-TURNOUT-TAMP;ENG-BALLAST-REGULATE;ENG-BALLAST-SCREEN;ENG-CURVE-REALIGN;ENG-RAIL-GRIND,12,3,48,SR-MAS
ENG-MJR-B,ENG,ENR-MJR-UP,7,rotating_2,ENG-TAMPING;ENG-TURNOUT-TAMP;ENG-BALLAST-REGULATE;ENG-BALLAST-SCREEN;ENG-CURVE-REALIGN;ENG-RAIL-GRIND,12,2,48,SR-MAS
ENG-GPD-B,ENG,PON-GPD-UP,6,rotating_3,ENG-TAMPING;ENG-TURNOUT-TAMP;ENG-BALLAST-REGULATE;ENG-BALLAST-SCREEN;ENG-CURVE-REALIGN;ENG-RAIL-GRIND,12,3,48,SR-MAS
ENG-MSB-B,ENG,MSB-MS-UP_SUB,7,rotating_2,ENG-TAMPING;ENG-TURNOUT-TAMP;ENG-BALLAST-REGULATE;ENG-BALLAST-SCREEN;ENG-CURVE-REALIGN;ENG-RAIL-GRIND,12,2,52,SR-MAS
ENG-MS-B,ENG,MSB-MS-UP_SUB,7,rotating_3,ENG-TAMPING;ENG-TURNOUT-TAMP;ENG-BALLAST-REGULATE;ENG-BALLAST-SCREEN;ENG-CURVE-REALIGN;ENG-RAIL-GRIND,12,3,52,SR-MAS
ENG-MBM-B,ENG,MS-MBM-UP_SUB,8,rotating_2,ENG-TAMPING;ENG-TURNOUT-TAMP;ENG-BALLAST-REGULATE;ENG-BALLAST-SCREEN;ENG-CURVE-REALIGN;ENG-RAIL-GRIND,12,2,54,SR-MAS
ENG-GI-B,ENG,MBM-GI-UP_SUB,7,rotating_2,ENG-TAMPING;ENG-TURNOUT-TAMP;ENG-BALLAST-REGULATE;ENG-BALLAST-SCREEN;ENG-CURVE-REALIGN;ENG-RAIL-GRIND,12,2,48,SR-MAS
ENG-STM-B,ENG,GI-STM-UP_SUB,9,rotating_3,ENG-TAMPING;ENG-TURNOUT-TAMP;ENG-BALLAST-REGULATE;ENG-BALLAST-SCREEN;ENG-CURVE-REALIGN;ENG-RAIL-GRIND,12,3,54,SR-MAS
ENG-PV-B,ENG,STM-PV-UP_SUB,7,rotating_2,ENG-TAMPING;ENG-TURNOUT-TAMP;ENG-BALLAST-REGULATE;ENG-BALLAST-SCREEN;ENG-CURVE-REALIGN;ENG-RAIL-GRIND,12,2,48,SR-MAS
ENG-TBM-B,ENG,PV-TBM-UP_SUB,10,rotating_3,ENG-TAMPING;ENG-TURNOUT-TAMP;ENG-BALLAST-REGULATE;ENG-BALLAST-SCREEN;ENG-CURVE-REALIGN;ENG-RAIL-GRIND,12,3,54,SR-MAS
ENG-CGL-B,ENG,CGL-WJ-SINGLE,13,rotating_3,ENG-RAIL-RENEWAL;ENG-SLEEPER-RENEWAL;ENG-DESTRESSING;ENG-TURNOUT-OVERHAUL,12,3,48,SR-MAS
ENG-CJ-B,ENG,WJ-CJ-SINGLE,13,rotating_3,ENG-RAIL-RENEWAL;ENG-SLEEPER-RENEWAL;ENG-DESTRESSING;ENG-TURNOUT-OVERHAUL,12,3,52,SR-MAS
ENG-MAS-C,ENG,MAS-BBQ-UP_SUB,13,rotating_3,ENG-RAIL-RENEWAL;ENG-SLEEPER-RENEWAL;ENG-DESTRESSING;ENG-TURNOUT-OVERHAUL,12,3,48,SR-MAS
ENG-PER-C,ENG,BBQ-PER-UP_SUB,16,rotating_2,ENG-RAIL-RENEWAL;ENG-SLEEPER-RENEWAL;ENG-DESTRESSING;ENG-TURNOUT-OVERHAUL,12,2,52,SR-MAS
ENG-ABU-C,ENG,PER-ABU-UP_SUB,12,rotating_3,ENG-RAIL-RENEWAL;ENG-SLEEPER-RENEWAL;ENG-DESTRESSING;ENG-TURNOUT-OVERHAUL,12,3,48,SR-MAS
ENG-AVD-C,ENG,ABU-AVD-UP_SUB,15,rotating_2,ENG-RAIL-RENEWAL;ENG-SLEEPER-RENEWAL;ENG-DESTRESSING;ENG-TURNOUT-OVERHAUL,12,2,54,SR-MAS
ENG-TI-C,ENG,AVD-TI-UP,20,rotating_2,ENG-RAIL-RENEWAL;ENG-SLEEPER-RENEWAL;ENG-DESTRESSING;ENG-TURNOUT-OVERHAUL,12,2,48,SR-MAS
ENG-TRL-C,ENG,TI-TRL-UP,18,rotating_2,ENG-RAIL-RENEWAL;ENG-SLEEPER-RENEWAL;ENG-DESTRESSING;ENG-TURNOUT-OVERHAUL,12,2,48,SR-MAS
ENG-AJJ-C,ENG,TRL-AJJ-UP,15,rotating_2,ENG-RAIL-RENEWAL;ENG-SLEEPER-RENEWAL;ENG-DESTRESSING;ENG-TURNOUT-OVERHAUL,12,2,52,SR-MAS
ENG-TNP-C,ENG,BBQ-TNP-UP,14,rotating_2,ENG-RAIL-RENEWAL;ENG-SLEEPER-RENEWAL;ENG-DESTRESSING;ENG-TURNOUT-OVERHAUL,12,2,52,SR-MAS
ENG-ENR-C,ENG,TNP-ENR-UP,4,rotating_2,ENG-USFD-TEST;ENG-BRIDGE-INSP;ENG-BRIDGE-REPAIR,12,2,48,SR-MAS
ENG-MJR-C,ENG,ENR-MJR-UP,5,rotating_2,ENG-USFD-TEST;ENG-BRIDGE-INSP;ENG-BRIDGE-REPAIR,12,2,48,SR-MAS
ENG-GPD-C,ENG,PON-GPD-UP,5,rotating_2,ENG-USFD-TEST;ENG-BRIDGE-INSP;ENG-BRIDGE-REPAIR,12,2,54,SR-MAS
ENG-MSB-C,ENG,MSB-MS-UP_SUB,5,rotating_3,ENG-USFD-TEST;ENG-BRIDGE-INSP;ENG-BRIDGE-REPAIR,12,3,48,SR-MAS
ENG-MS-C,ENG,MSB-MS-UP_SUB,4,rotating_2,ENG-USFD-TEST;ENG-BRIDGE-INSP;ENG-BRIDGE-REPAIR,12,2,48,SR-MAS
ENG-MBM-C,ENG,MS-MBM-UP_SUB,6,rotating_3,ENG-USFD-TEST;ENG-BRIDGE-INSP;ENG-BRIDGE-REPAIR,12,3,48,SR-MAS
ENG-GI-C,ENG,MBM-GI-UP_SUB,5,rotating_3,ENG-USFD-TEST;ENG-BRIDGE-INSP;ENG-BRIDGE-REPAIR,12,3,54,SR-MAS
ENG-STM-C,ENG,GI-STM-UP_SUB,5,rotating_3,ENG-USFD-TEST;ENG-BRIDGE-INSP;ENG-BRIDGE-REPAIR,12,3,54,SR-MAS
TRD-MAS-A,TRD,MAS-BBQ-UP_SUB,4,rotating_3,TRD-OHE-INSP;TRD-OHE-INSULATOR;TRD-OHE-TENSION;TRD-OHE-DROPPER;TRD-OHE-EARTHING;TRD-OHE-FAULT;TRD-OHE-YARD,12,3,48,SR-MAS
TRD-AVD-A,TRD,ABU-AVD-UP_SUB,4,rotating_3,TRD-OHE-INSP;TRD-OHE-INSULATOR;TRD-OHE-TENSION;TRD-OHE-DROPPER;TRD-OHE-EARTHING;TRD-OHE-FAULT;TRD-OHE-YARD,12,3,54,SR-MAS
TRD-AJJ-A,TRD,TRL-AJJ-UP,4,rotating_2,TRD-OHE-INSP;TRD-OHE-INSULATOR;TRD-OHE-TENSION;TRD-OHE-DROPPER;TRD-OHE-EARTHING;TRD-OHE-FAULT;TRD-OHE-YARD,12,2,52,SR-MAS
TRD-ENR-A,TRD,TNP-ENR-UP,6,rotating_2,TRD-OHE-INSP;TRD-OHE-INSULATOR;TRD-OHE-TENSION;TRD-OHE-DROPPER;TRD-OHE-EARTHING;TRD-OHE-FAULT;TRD-OHE-YARD,12,2,54,SR-MAS
TRD-GPD-A,TRD,PON-GPD-UP,4,rotating_3,TRD-OHE-INSP;TRD-OHE-INSULATOR;TRD-OHE-TENSION;TRD-OHE-DROPPER;TRD-OHE-EARTHING;TRD-OHE-FAULT;TRD-OHE-YARD,12,3,48,SR-MAS
TRD-MSB-A,TRD,MSB-MS-UP_SUB,5,rotating_2,TRD-OHE-INSP;TRD-OHE-INSULATOR;TRD-OHE-TENSION;TRD-OHE-DROPPER;TRD-OHE-EARTHING;TRD-OHE-FAULT;TRD-OHE-YARD,12,2,52,SR-MAS
TRD-GI-A,TRD,MBM-GI-UP_SUB,6,rotating_2,TRD-OHE-INSP;TRD-OHE-INSULATOR;TRD-OHE-TENSION;TRD-OHE-DROPPER;TRD-OHE-EARTHING;TRD-OHE-FAULT;TRD-OHE-YARD,12,2,54,SR-MAS
TRD-TBM-A,TRD,PV-TBM-UP_SUB,4,rotating_2,TRD-OHE-INSP;TRD-OHE-INSULATOR;TRD-OHE-TENSION;TRD-OHE-DROPPER;TRD-OHE-EARTHING;TRD-OHE-FAULT;TRD-OHE-YARD,12,2,48,SR-MAS
TRD-CGL-A,TRD,CGL-WJ-SINGLE,4,rotating_3,TRD-OHE-INSP;TRD-OHE-INSULATOR;TRD-OHE-TENSION;TRD-OHE-DROPPER;TRD-OHE-EARTHING;TRD-OHE-FAULT;TRD-OHE-YARD,12,3,48,SR-MAS
TRD-MAS-B,TRD,MAS-BBQ-UP_SUB,6,rotating_2,TRD-OHE-INSP;TRD-OHE-INSULATOR;TRD-OHE-TENSION;TRD-OHE-DROPPER;TRD-OHE-EARTHING;TRD-OHE-FAULT;TRD-OHE-YARD,12,2,54,SR-MAS
TRD-AVD-B,TRD,ABU-AVD-UP_SUB,6,rotating_2,TRD-OHE-INSP;TRD-OHE-INSULATOR;TRD-OHE-TENSION;TRD-OHE-DROPPER;TRD-OHE-EARTHING;TRD-OHE-FAULT;TRD-OHE-YARD,12,2,48,SR-MAS
