machine_id,machine_type,home_base,current_section,available_from,available_to,output_rate,transit_time_h
TAMP-SR-03,tamper,AJJ,TRL-AJJ-UP,2026-09-01 08:00,2026-09-06 15:00,350.0,1.5
TAMP-SR-03,tamper,AJJ,TRL-AJJ-UP,2026-09-08 23:00,2026-09-15 23:00,350.0,1.5
TAMP-SR-03,tamper,AJJ,TRL-AJJ-UP,2026-09-17 07:00,2026-09-23 12:00,350.0,1.5
TAMP-SR-03,tamper,AJJ,TRL-AJJ-UP,2026-09-25 22:00,2026-09-30 23:59,350.0,1.5
TAMP-SR-05,tamper,TBM,PV-TBM-UP_SUB,2026-09-01 16:00,2026-09-04 17:00,350.0,1.5
TAMP-SR-05,tamper,TBM,PV-TBM-UP_SUB,2026-09-06 06:00,2026-09-11 16:00,350.0,1.5
TAMP-SR-05,tamper,TBM,PV-TBM-UP_SUB,2026-09-16 10:00,2026-09-22 18:00,350.0,1.5
TAMP-SR-05,tamper,TBM,PV-TBM-UP_SUB,2026-09-23 21:00,2026-09-30 23:59,350.0,1.5
TAMP-SR-07,tamper,AVD,ABU-AVD-UP_SUB,2026-09-01 01:00,2026-09-07 09:00,350.0,1.5
TAMP-SR-07,tamper,AVD,ABU-AVD-UP_SUB,2026-09-11 03:00,2026-09-19 10:00,350.0,1.5
BCM-SR-01,BCM,AJJ,TRL-AJJ-UP,2026-09-01 04:00,2026-09-08 09:00,60.0,2.5
BCM-SR-01,BCM,AJJ,TRL-AJJ-UP,2026-09-10 03:00,2026-09-13 15:00,60.0,2.5
USFD-SR-01,USFD_car,MAS,MAS-BBQ-UP_SUB,2026-09-01 13:00,2026-09-07 23:00,8000.0,0.6
USFD-SR-01,USFD_car,MAS,MAS-BBQ-UP_SUB,2026-09-10 13:00,2026-09-14 01:00,8000.0,0.6
USFD-SR-01,USFD_car,MAS,MAS-BBQ-UP_SUB,2026-09-18 01:00,2026-09-21 07:00,8000.0,0.6
USFD-SR-04,USFD_car,TBM,PV-TBM-UP_SUB,2026-09-01 00:00,2026-09-09 10:00,8000.0,0.6
USFD-SR-04,USFD_car,TBM,PV-TBM-UP_SUB,2026-09-13 13:00,2026-09-19 00:00,8000.0,0.6
USFD-SR-04,USFD_car,TBM,PV-TBM-UP_SUB,2026-09-23 18:00,2026-09-28 02:00,8000.0,0.6
BRM-SR-02,ballast_regulator,AVD,ABU-AVD-UP_SUB,2026-09-01 00:00,2026-09-04 01:00,900.0,1.2
BRM-SR-02,ballast_regulator,AVD,ABU-AVD-UP_SUB,2026-09-08 17:00,2026-09-14 04:00,900.0,1.2
BRM-SR-02,ballast_regulator,AVD,ABU-AVD-UP_SUB,2026-09-17 18:00,2026-09-22 02:00,900.0,1.2
BRM-SR-06,ballast_regulator,TBM,PV-TBM-UP_SUB,2026-09-01 12:00,2026-09-05 16:00,900.0,1.2
BRM-SR-06,ballast_regulator,TBM,PV-TBM-UP_SUB,2026-09-09 23:00,2026-09-17 05:00,900.0,1.2
RGM-SR-01,rail_grinder,AJJ,TRL-AJJ-UP,2026-09-01 02:00,2026-09-08 06:00,500.0,1.5
RGM-SR-01,rail_grinder,AJJ,TRL-AJJ-UP,2026-09-11 18:00,2026-09-20 00:00,500.0,1.5
RGM-SR-01,rail_grinder,AJJ,TRL-AJJ-UP,2026-09-23 00:00,2026-09-29 00:00,500.0,1.5
OHE-TC-01,OHE_tower_car,MAS,MAS-BBQ-UP_SUB,2026-09-01 11:00,2026-09-07 18:00,1200.0,0.8
OHE-TC-01,OHE_tower_car,MAS,MAS-BBQ-UP_SUB,2026-09-12 02:00,2026-09-20 14:00,1200.0,0.8
OHE-TC-01,OHE_tower_car,MAS,MAS-BBQ-UP_SUB,2026-09-22 05:00,2026-09-29 15:00,1200.0,0.8
OHE-TC-02,OHE_tower_car,PER,BBQ-PER-UP_SUB,2026-09-01 18:00,2026-09-08 06:00,1200.0,0.8
OHE-TC-02,OHE_tower_car,PER,BBQ-PER-UP_SUB,2026-09-12 21:00,2026-09-20 04:00,1200.0,0.8
OHE-TC-03,OHE_tower_car,AVD,ABU-AVD-UP_SUB,2026-09-01 00:00,2026-09-05 10:00,1200.0,0.8
OHE-TC-03,OHE_tower_car,AVD,ABU-AVD-UP_SUB,2026-09-07 05:00,2026-09-16 14:00,1200.0,0.8
OHE-TC-03,OHE_tower_car,AVD,ABU-AVD-UP_SUB,2026-09-19 08:00,2026-09-26 20:00,1200.0,0.8
OHE-TC-04,OHE_tower_car,AJJ,TRL-AJJ-UP,2026-09-01 04:00,2026-09-04 13:00,1200.0,0.8
OHE-TC-04,OHE_tower_car,AJJ,TRL-AJJ-UP,2026-09-07 13:00,2026-09-14 14:00,1200.0,0.8
OHE-TC-04,OHE_tower_car,AJJ,TRL-AJJ-UP,2026-09-18 09:00,2026-09-24 14:00,1200.0,0.8
OHE-TC-05,OHE_tower_car,ENR,TNP-ENR-UP,2026-09-01 08:00,2026-09-05 12:00,1200.0,0.8
OHE-TC-05,OHE_tower_car,ENR,TNP-ENR-UP,2026-09-09 23:00,2026-09-15 11:00,1200.0,0.8
OHE-TC-05,OHE_tower_car,ENR,TNP-ENR-UP,2026-09-18 06:00,2026-09-27 13:00,1200.0,0.8
OHE-TC-05,OHE_tower_car,ENR,TNP-ENR-UP,2026-09-30 08:00,2026-09-30 23:59,1200.0,0.8
OHE-TC-06,OHE_tower_car,MSB,MSB-MS-UP_SUB,2026-09-01 13:00,2026-09-04 21:00,1200.0,0.8
OHE-TC-06,OHE_tower_car,MSB,MSB-MS-UP_SUB,2026-09-07 08:00,2026-09-16 10:00,1200.0,0.8
OHE-TC-06,OHE_tower_car,MSB,MSB-MS-UP_SUB,2026-09-20 22:00,2026-09-25 06:00,1200.0,0.8
OHE-TC-07,OHE_tower_car,TBM,PV-TBM-UP_SUB,2026-09-01 08:00,2026-09-08 18:00,1200.0,0.8
OHE-TC-07,OHE_tower_car,TBM,PV-TBM-UP_SUB,2026-09-13 07:00,2026-09-17 17:00,1200.0,0.8
OHE-TC-07,OHE_tower_car,TBM,PV-TBM-UP_SUB,2026-09-20 01:00,2026-09-25 02:00,1200.0,0.8
OHE-TC-08,OHE_tower_car,CGL,CGL-WJ-SINGLE,2026-09-01 06:00,2026-09-04 07:00,1200.0,0.8
OHE-TC-08,OHE_tower_car,CGL,CGL-WJ-SINGLE,2026-09-07 08:00,2026-09-16 16:00,1200.0,0.8
