station_code,station_name,km_from_origin,is_block_station,has_yard,route_capacity,is_junction,corridor_id,km_origin_ref,division_id
MAS,Chennai Central,0.0,true,true,12,true,MAS-AJJ,MAS,SR-MAS
BBQ,Basin Bridge Junction,2.0,true,true,8,true,MAS-AJJ,MAS,SR-MAS
VJM,Vyasarpadi Jeeva,4.0,false,false,4,false,MAS-AJJ,MAS,SR-MAS
PER,Perambur,5.0,true,true,6,false,MAS-AJJ,MAS,SR-MAS
VLK,Villivakkam,9.0,false,false,4,false,MAS-AJJ,MAS,SR-MAS
ABU,Ambattur,15.0,true,false,4,false,MAS-AJJ,MAS,SR-MAS
AVD,Avadi,21.0,true,true,6,false,MAS-AJJ,MAS,SR-MAS
TI,Tiruninravur,29.0,true,false,4,false,MAS-AJJ,MAS,SR-MAS
VEU,Veppampattu,32.0,false,false,3,false,MAS-AJJ,MAS,SR-MAS
TRL,Tiruvallur,42.0,true,true,5,false,MAS-AJJ,MAS,SR-MAS
MAF,Manavur,54.0,false,false,3,false,MAS-AJJ,MAS,SR-MAS
AJJ,Arakkonam Junction,69.0,true,true,8,true,MAS-AJJ,MAS,SR-MAS
TNP,Tondiarpet,5.0,true,true,4,false,BBQ-GPD,MAS,SR-MAS
TVT,Tiruvottiyur,9.0,false,false,3,false,BBQ-GPD,MAS,SR-MAS
WCN,Wimco Nagar,15.0,false,false,3,false,BBQ-GPD,MAS,SR-MAS
ENR,Ennore,16.0,true,true,4,false,BBQ-GPD,MAS,SR-MAS
MJR,Minjur,26.0,true,false,3,false,BBQ-GPD,MAS,SR-MAS
PON,Ponneri,35.0,true,false,4,false,BBQ-GPD,MAS,SR-MAS
GPD,Gummidipoondi,47.0,true,true,4,false,BBQ-GPD,MAS,SR-MAS
MSB,Chennai Beach,0.0,true,true,8,true,MSB-TBM,MSB,SR-MAS
MS,Chennai Egmore,4.32,true,true,8,true,MSB-TBM,MSB,SR-MAS
MBM,Mambalam,11.29,true,false,4,false,MSB-TBM,MSB,SR-MAS
GI,Guindy,15.01,true,false,4,false,MSB-TBM,MSB,SR-MAS
STM,St. Thomas Mount,17.12,true,false,4,false,MSB-TBM,MSB,SR-MAS
PV,Pallavaram,23.15,true,false,4,false,MSB-TBM,MSB,SR-MAS
TBM,Tambaram,29.14,true,true,6,false,MSB-TBM,MSB,SR-MAS
CGL,Chengalpattu Junction,59.84,true,true,6,true,AJJ-CGL,MSB,SR-MAS
WJ,Walajabad,81.78,true,false,2,false,AJJ-CGL,MSB,SR-MAS
CJ,Kanchipuram,95.82,true,true,3,false,AJJ-CGL,MSB,SR-MAS
TMLP,Tirumalpur,107.82,true,false,2,false,AJJ-CGL,MSB,SR-MAS
TKO,Takkolam,114.82,true,false,2,false,AJJ-CGL,MSB,SR-MAS
