window_id,block_section_id,day_of_week,start_time,duration_min,window_type,max_departments
W-ABUAVD-DN-MON,ABU-AVD-DN,MON,01:00,120,corridor_block,3
W-ABUAVD-DN_SUB-TUE,ABU-AVD-DN_SUB,TUE,01:00,120,corridor_block,3
W-ABUAVD-UP-WED,ABU-AVD-UP,WED,01:00,120,corridor_block,3
W-ABUAVD-UP_SUB-THU,ABU-AVD-UP_SUB,THU,01:00,120,corridor_block,3
W-AVDTI-DN-FRI,AVD-TI-DN,FRI,01:00,120,corridor_block,3
W-AVDTI-DN_SUB-SAT,AVD-TI-DN_SUB,SAT,01:00,120,corridor_block,3
W-AVDTI-UP-SUN,AVD-TI-UP,SUN,01:00,120,corridor_block,3
W-AVDTI-UP_SUB-MON,AVD-TI-UP_SUB,MON,01:00,120,corridor_block,3
W-BBQPER-DN-TUE,BBQ-PER-DN,TUE,01:00,120,corridor_block,3
W-BBQPER-DN_SUB-WED,BBQ-PER-DN_SUB,WED,01:00,120,corridor_block,3
W-BBQPER-UP-THU,BBQ-PER-UP,THU,01:00,120,corridor_block,3
W-BBQPER-UP_SUB-FRI,BBQ-PER-UP_SUB,FRI,01:00,120,corridor_block,3
W-MASBBQ-DN-SAT,MAS-BBQ-DN,SAT,01:00,120,corridor_block,3
W-MASBBQ-DN_SUB-SUN,MAS-BBQ-DN_SUB,SUN,01:00,120,corridor_block,3
W-MASBBQ-UP-MON,MAS-BBQ-UP,MON,01:00,120,corridor_block,3
W-MASBBQ-UP_SUB-TUE,MAS-BBQ-UP_SUB,TUE,01:00,120,corridor_block,3
W-PERABU-DN-WED,PER-ABU-DN,WED,01:00,120,corridor_block,3
W-PERABU-DN_SUB-THU,PER-ABU-DN_SUB,THU,01:00,120,corridor_block,3
W-PERABU-UP-FRI,PER-ABU-UP,FRI,01:00,120,corridor_block,3
W-PERABU-UP_SUB-SAT,PER-ABU-UP_SUB,SAT,01:00,120,corridor_block,3
W-TITRL-DN-SUN,TI-TRL-DN,SUN,01:00,120,corridor_block,3
W-TITRL-DN_SUB-MON,TI-TRL-DN_SUB,MON,01:00,120,corridor_block,3
W-TITRL-UP-TUE,TI-TRL-UP,TUE,01:00,120,corridor_block,3
W-TITRL-UP_SUB-WED,TI-TRL-UP_SUB,WED,01:00,120,corridor_block,3
W-TRLAJJ-DN-THU,TRL-AJJ-DN,THU,01:00,120,corridor_block,3
W-TRLAJJ-DN_SUB-FRI,TRL-AJJ-DN_SUB,FRI,01:00,120,corridor_block,3
W-TRLAJJ-UP-SAT,TRL-AJJ-UP,SAT,01:00,120,corridor_block,3
W-TRLAJJ-UP_SUB-SUN,TRL-AJJ-UP_SUB,SUN,01:00,120,corridor_block,3
W-BBQTNP-DN-MON,BBQ-TNP-DN,MON,10:00,120,corridor_block,2
W-BBQTNP-DN-THU,BBQ-TNP-DN,THU,10:00,120,corridor_block,2
W-BBQTNP-UP-WED,BBQ-TNP-UP,WED,10:00,120,corridor_block,2
W-BBQTNP-UP-SAT,BBQ-TNP-UP,SAT,10:00,120,corridor_block,2
W-ENRMJR-DN-FRI,ENR-MJR-DN,FRI,10:00,120,corridor_block,2
W-ENRMJR-DN-MON,ENR-MJR-DN,MON,10:00,120,corridor_block,2
W-ENRMJR-UP-SUN,ENR-MJR-UP,SUN,10:00,120,corridor_block,2
W-ENRMJR-UP-WED,ENR-MJR-UP,WED,10:00,120,corridor_block,2
W-MJRPON-DN-TUE,MJR-PON-DN,TUE,10:00,120,corridor_block,2
W-MJRPON-DN-FRI,MJR-PON-DN,FRI,10:00,120,corridor_block,2
W-MJRPON-UP-THU,MJR-PON-UP,THU,10:00,120,corridor_block,2
W-MJRPON-UP-SUN,MJR-PON-UP,SUN,10:00,120,corridor_block,2
W-PONGPD-DN-SAT,PON-GPD-DN,SAT,10:00,120,corridor_block,2
W-PONGPD-DN-TUE,PON-GPD-DN,TUE,10:00,120,corridor_block,2
W-PONGPD-UP-MON,PON-GPD-UP,MON,10:00,120,corridor_block,2
W-PONGPD-UP-THU,PON-GPD-UP,THU,10:00,120,corridor_block,2
W-TNPENR-DN-WED,TNP-ENR-DN,WED,10:00,120,corridor_block,2
W-TNPENR-DN-SAT,TNP-ENR-DN,SAT,10:00,120,corridor_block,2
W-TNPENR-UP-FRI,TNP-ENR-UP,FRI,10:00,120,corridor_block,2
W-TNPENR-UP-MON,TNP-ENR-UP,MON,10:00,120,corridor_block,2
W-GISTM-DN-MON,GI-STM-DN,MON,00:30,180,corridor_block,3
W-GISTM-DN-THU,GI-STM-DN,THU,00:30,180,corridor_block,3
W-GISTM-DN_SUB-WED,GI-STM-DN_SUB,WED,00:30,180,corridor_block,3
W-GISTM-DN_SUB-SAT,GI-STM-DN_SUB,SAT,00:30,180,corridor_block,3
W-GISTM-UP-FRI,GI-STM-UP,FRI,00:30,180,corridor_block,3
W-GISTM-UP-MON,GI-STM-UP,MON,00:30,180,corridor_block,3
W-GISTM-UP_SUB-SUN,GI-STM-UP_SUB,SUN,00:30,180,corridor_block,3
W-GISTM-UP_SUB-WED,GI-STM-UP_SUB,WED,00:30,180,corridor_block,3
W-MBMGI-DN-TUE,MBM-GI-DN,TUE,00:30,180,corridor_block,3
W-MBMGI-DN-FRI,MBM-GI-DN,FRI,00:30,180,corridor_block,3
W-MBMGI-DN_SUB-THU,MBM-GI-DN_SUB,THU,00:30,180,corridor_block,3
W-MBMGI-DN_SUB-SUN,MBM-GI-DN_SUB,SUN,00:30,180,corridor_block,3
W-MBMGI-UP-SAT,MBM-GI-UP,SAT,00:30,180,corridor_block,3
W-MBMGI-UP-TUE,MBM-GI-UP,TUE,00:30,180,corridor_block,3
W-MBMGI-UP_SUB-MON,MBM-GI-UP_SUB,MON,00:30,180,corridor_block,3
W-MBMGI-UP_SUB-THU,MBM-GI-UP_SUB,THU,00:30,180,corridor_block,3
W-MSMBM-DN-WED,MS-MBM-DN,WED,00:30,180,corridor_block,3
W-MSMBM-DN-SAT,MS-MBM-DN,SAT,00:30,180,corridor_block,3
W-MSMBM-DN_SUB-FRI,MS-MBM-DN_SUB,FRI,00:30,180,corridor_block,3
W-MSMBM-DN_SUB-MON,MS-MBM-DN_SUB,MON,00:30,180,corridor_block,3
