forecast_date,block_section_id,time_band,expected_rakes,confidence
2026-09-07,ABU-AVD-DN,00-06,3,0.85
2026-09-07,ABU-AVD-DN,06-12,1,0.70
2026-09-07,ABU-AVD-DN,12-18,2,0.69
2026-09-07,ABU-AVD-DN,18-24,3,0.80
2026-09-07,ABU-AVD-UP,00-06,3,0.83
2026-09-07,ABU-AVD-UP,06-12,1,0.68
2026-09-07,ABU-AVD-UP,12-18,2,0.74
2026-09-07,ABU-AVD-UP,18-24,2,0.77
2026-09-07,AVD-TI-DN,00-06,3,0.86
2026-09-07,AVD-TI-DN,06-12,1,0.67
2026-09-07,AVD-TI-DN,12-18,2,0.72
2026-09-07,AVD-TI-DN,18-24,2,0.84
2026-09-07,AVD-TI-UP,00-06,3,0.83
2026-09-07,AVD-TI-UP,06-12,1,0.65
2026-09-07,AVD-TI-UP,12-18,2,0.74
2026-09-07,AVD-TI-UP,18-24,3,0.82
2026-09-07,BBQ-PER-DN,00-06,3,0.81
2026-09-07,BBQ-PER-DN,06-12,1,0.66
2026-09-07,BBQ-PER-DN,12-18,1,0.74
2026-09-07,BBQ-PER-DN,18-24,2,0.81
2026-09-07,BBQ-PER-UP,00-06,3,0.89
2026-09-07,BBQ-PER-UP,06-12,1,0.70
2026-09-07,BBQ-PER-UP,12-18,2,0.72
2026-09-07,BBQ-PER-UP,18-24,3,0.77
2026-09-07,BBQ-TNP-DN,00-06,7,0.88
2026-09-07,BBQ-TNP-DN,06-12,2,0.61
2026-09-07,BBQ-TNP-DN,12-18,4,0.75
2026-09-07,BBQ-TNP-DN,18-24,7,0.85
2026-09-07,BBQ-TNP-UP,00-06,6,0.85
2026-09-07,BBQ-TNP-UP,06-12,2,0.65
2026-09-07,BBQ-TNP-UP,12-18,4,0.68
2026-09-07,BBQ-TNP-UP,18-24,8,0.78
2026-09-07,ENR-MJR-DN,00-06,8,0.83
2026-09-07,ENR-MJR-DN,06-12,2,0.62
2026-09-07,ENR-MJR-DN,12-18,5,0.75
2026-09-07,ENR-MJR-DN,18-24,5,0.79
2026-09-07,ENR-MJR-UP,00-06,6,0.87
2026-09-07,ENR-MJR-UP,06-12,2,0.69
2026-09-07,ENR-MJR-UP,12-18,4,0.72
2026-09-07,ENR-MJR-UP,18-24,7,0.78
2026-09-07,MAS-BBQ-DN,00-06,3,0.86
2026-09-07,MAS-BBQ-DN,06-12,1,0.69
2026-09-07,MAS-BBQ-DN,12-18,2,0.71
2026-09-07,MAS-BBQ-DN,18-24,3,0.85
2026-09-07,MAS-BBQ-UP,00-06,3,0.86
2026-09-07,MAS-BBQ-UP,06-12,1,0.64
2026-09-07,MAS-BBQ-UP,12-18,2,0.73
2026-09-07,MAS-BBQ-UP,18-24,3,0.86
2026-09-07,MJR-PON-DN,00-06,4,0.88
2026-09-07,MJR-PON-DN,06-12,1,0.67
2026-09-07,MJR-PON-DN,12-18,2,0.77
2026-09-07,MJR-PON-DN,18-24,4,0.83
2026-09-07,MJR-PON-UP,00-06,5,0.89
2026-09-07,MJR-PON-UP,06-12,2,0.65
2026-09-07,MJR-PON-UP,12-18,3,0.75
2026-09-07,MJR-PON-UP,18-24,3,0.85
