path_id,train_no,train_type,block_section_id,entry_time,exit_time,days_of_week,priority_class,divertible
P-12007-MASBBQ-DN,12007,superfast,MAS-BBQ-DN,06:00,06:02,1110111,1,true
P-12007-BBQPER-DN,12007,superfast,BBQ-PER-DN,06:02,06:04,1110111,1,true
P-12007-PERABU-DN,12007,superfast,PER-ABU-DN,06:04,06:13,1110111,1,true
P-12007-ABUAVD-DN,12007,superfast,ABU-AVD-DN,06:13,06:19,1110111,1,true
P-12007-AVDTI-DN,12007,superfast,AVD-TI-DN,06:19,06:26,1110111,1,true
P-12007-TITRL-DN,12007,superfast,TI-TRL-DN,06:26,06:37,1110111,1,true
P-12007-TRLAJJ-DN,12007,superfast,TRL-AJJ-DN,06:37,07:00,1110111,1,true
P-16057-MASBBQ-DN,16057,express,MAS-BBQ-DN,06:25,06:27,1111111,3,true
P-16057-BBQPER-DN,16057,express,BBQ-PER-DN,06:27,06:30,1111111,3,true
P-16057-PERABU-DN,16057,express,PER-ABU-DN,06:30,06:41,1111111,3,true
P-16057-ABUAVD-DN,16057,express,ABU-AVD-DN,06:41,06:48,1111111,3,true
P-16057-AVDTI-DN,16057,express,AVD-TI-DN,06:48,06:57,1111111,3,true
P-16057-TITRL-DN,16057,express,TI-TRL-DN,06:57,07:11,1111111,3,true
P-16057-TRLAJJ-DN,16057,express,TRL-AJJ-DN,07:11,07:40,1111111,3,true
P-22625-MASBBQ-DN,22625,superfast,MAS-BBQ-DN,07:25,07:27,1111111,2,true
P-22625-BBQPER-DN,22625,superfast,BBQ-PER-DN,07:27,07:29,1111111,2,true
P-22625-PERABU-DN,22625,superfast,PER-ABU-DN,07:29,07:38,1111111,2,true
P-22625-ABUAVD-DN,22625,superfast,ABU-AVD-DN,07:38,07:44,1111111,2,true
P-22625-AVDTI-DN,22625,superfast,AVD-TI-DN,07:44,07:51,1111111,2,true
P-22625-TITRL-DN,22625,superfast,TI-TRL-DN,07:51,08:02,1111111,2,true
P-22625-TRLAJJ-DN,22625,superfast,TRL-AJJ-DN,08:02,08:25,1111111,2,true
P-12639-MASBBQ-DN,12639,superfast,MAS-BBQ-DN,07:40,07:42,1111111,2,true
P-12639-BBQPER-DN,12639,superfast,BBQ-PER-DN,07:42,07:44,1111111,2,true
P-12639-PERABU-DN,12639,superfast,PER-ABU-DN,07:44,07:53,1111111,2,true
P-12639-ABUAVD-DN,12639,superfast,ABU-AVD-DN,07:53,07:59,1111111,2,true
P-12639-AVDTI-DN,12639,superfast,AVD-TI-DN,07:59,08:06,1111111,2,true
P-12639-TITRL-DN,12639,superfast,TI-TRL-DN,08:06,08:17,1111111,2,true
P-12639-TRLAJJ-DN,12639,superfast,TRL-AJJ-DN,08:17,08:40,1111111,2,true
P-12609-MASBBQ-DN,12609,superfast,MAS-BBQ-DN,13:35,13:37,1111111,2,true
P-12609-BBQPER-DN,12609,superfast,BBQ-PER-DN,13:37,13:39,1111111,2,true
P-12609-PERABU-DN,12609,superfast,PER-ABU-DN,13:39,13:48,1111111,2,true
P-12609-ABUAVD-DN,12609,superfast,ABU-AVD-DN,13:48,13:54,1111111,2,true
P-12609-AVDTI-DN,12609,superfast,AVD-TI-DN,13:54,14:01,1111111,2,true
P-12609-TITRL-DN,12609,superfast,TI-TRL-DN,14:01,14:12,1111111,2,true
P-12609-TRLAJJ-DN,12609,superfast,TRL-AJJ-DN,14:12,14:35,1111111,2,true
P-12027-MASBBQ-DN,12027,superfast,MAS-BBQ-DN,17:30,17:32,1101111,1,true
P-12027-BBQPER-DN,12027,superfast,BBQ-PER-DN,17:32,17:34,1101111,1,true
P-12027-PERABU-DN,12027,superfast,PER-ABU-DN,17:34,17:43,1101111,1,true
P-12027-ABUAVD-DN,12027,superfast,ABU-AVD-DN,17:43,17:49,1101111,1,true
P-12027-AVDTI-DN,12027,superfast,AVD-TI-DN,17:49,17:56,1101111,1,true
P-12027-TITRL-DN,12027,superfast,TI-TRL-DN,17:56,18:07,1101111,1,true
P-12027-TRLAJJ-DN,12027,superfast,TRL-AJJ-DN,18:07,18:30,1101111,1,true
P-16021-MASBBQ-DN,16021,express,MAS-BBQ-DN,21:15,21:17,1111111,3,true
P-16021-BBQPER-DN,16021,express,BBQ-PER-DN,21:17,21:20,1111111,3,true
P-16021-PERABU-DN,16021,express,PER-ABU-DN,21:20,21:31,1111111,3,true
P-16021-ABUAVD-DN,16021,express,ABU-AVD-DN,21:31,21:38,1111111,3,true
P-16021-AVDTI-DN,16021,express,AVD-TI-DN,21:38,21:47,1111111,3,true
P-16021-TITRL-DN,16021,express,TI-TRL-DN,21:47,22:01,1111111,3,true
P-16021-TRLAJJ-DN,16021,express,TRL-AJJ-DN,22:01,22:30,1111111,3,true
P-12658-MASBBQ-DN,12658,superfast,MAS-BBQ-DN,22:40,22:42,1111111,2,true
P-12658-BBQPER-DN,12658,superfast,BBQ-PER-DN,22:42,22:44,1111111,2,true
P-12658-PERABU-DN,12658,superfast,PER-ABU-DN,22:44,22:53,1111111,2,true
P-12658-ABUAVD-DN,12658,superfast,ABU-AVD-DN,22:53,22:59,1111111,2,true
P-12658-AVDTI-DN,12658,superfast,AVD-TI-DN,22:59,23:06,1111111,2,true
P-12658-TITRL-DN,12658,superfast,TI-TRL-DN,23:06,23:17,1111111,2,true
P-12658-TRLAJJ-DN,12658,superfast,TRL-AJJ-DN,23:17,23:40,1111111,2,true
P-12657-TRLAJJ-UP,12657,superfast,TRL-AJJ-UP,05:00,05:23,1111111,2,true
P-12657-TITRL-UP,12657,superfast,TI-TRL-UP,05:23,05:35,1111111,2,true
P-12657-AVDTI-UP,12657,superfast,AVD-TI-UP,05:35,05:42,1111111,2,true
P-12657-ABUAVD-UP,12657,superfast,ABU-AVD-UP,05:42,05:47,1111111,2,true
P-12657-PERABU-UP,12657,superfast,PER-ABU-UP,05:47,05:56,1111111,2,true
P-12657-BBQPER-UP,12657,superfast,BBQ-PER-UP,05:56,05:59,1111111,2,true
P-12657-MASBBQ-UP,12657,superfast,MAS-BBQ-UP,05:59,06:00,1111111,2,true
P-12640-TRLAJJ-UP,12640,superfast,TRL-AJJ-UP,12:40,13:03,1111111,2,true
P-12640-TITRL-UP,12640,superfast,TI-TRL-UP,13:03,13:15,1111111,2,true
P-12640-AVDTI-UP,12640,superfast,AVD-TI-UP,13:15,13:22,1111111,2,true
P-12640-ABUAVD-UP,12640,superfast,ABU-AVD-UP,13:22,13:27,1111111,2,true
P-12640-PERABU-UP,12640,superfast,PER-ABU-UP,13:27,13:36,1111111,2,true
P-12640-BBQPER-UP,12640,superfast,BBQ-PER-UP,13:36,13:39,1111111,2,true
P-12640-MASBBQ-UP,12640,superfast,MAS-BBQ-UP,13:39,13:40,1111111,2,true
P-16058-TRLAJJ-UP,16058,express,TRL-AJJ-UP,20:30,20:59,1111111,3,true
P-16058-TITRL-UP,16058,express,TI-TRL-UP,20:59,21:13,1111111,3,true
P-16058-AVDTI-UP,16058,express,AVD-TI-UP,21:13,21:22,1111111,3,true
P-16058-ABUAVD-UP,16058,express,ABU-AVD-UP,21:22,21:28,1111111,3,true
P-16058-PERABU-UP,16058,express,PER-ABU-UP,21:28,21:39,1111111,3,true
P-16058-BBQPER-UP,16058,express,BBQ-PER-UP,21:39,21:43,1111111,3,true
P-16058-MASBBQ-UP,16058,express,MAS-BBQ-UP,21:43,21:45,1111111,3,true
P-12008-TRLAJJ-UP,12008,superfast,TRL-AJJ-UP,21:05,21:28,1110111,1,true
P-12008-TITRL-UP,12008,superfast,TI-TRL-UP,21:28,21:40,1110111,1,true
P-12008-AVDTI-UP,12008,superfast,AVD-TI-UP,21:40,21:47,1110111,1,true
P-12008-ABUAVD-UP,12008,superfast,ABU-AVD-UP,21:47,21:52,1110111,1,true
P-12008-PERABU-UP,12008,superfast,PER-ABU-UP,21:52,22:01,1110111,1,true
P-12008-BBQPER-UP,12008,superfast,BBQ-PER-UP,22:01,22:04,1110111,1,true
P-12008-MASBBQ-UP,12008,superfast,MAS-BBQ-UP,22:04,22:05,1110111,1,true
P-12841-MASBBQ-DN,12841,superfast,MAS-BBQ-DN,08:45,08:47,1111111,1,true
P-12841-BBQTNP-DN,12841,superfast,BBQ-TNP-DN,08:47,08:50,1111111,1,true
P-12841-TNPENR-DN,12841,superfast,TNP-ENR-DN,08:50,08:59,1111111,1,true
